,sg_uf,dis_name,YEAR,cases,pop,pop_100k,mor_100k,mor_num,cnr_per 100k pop,res_cases,cured,t_com,died,fail,treat_death,p_cov,def,other,t_out,not_eva,fail_not_val_t_out,beds,fhs,fhs_sc,abandon,f_treated,has_prison,k50,pct_idc,temp,humi,rain
51,6,Pirojpur,2008,1230,1178016,11.78016,51,600.78816,88.2,1039,967,9,41.43407122,3,35,0.844715447,11,14,14,0,17,324,1.100154837,1.100154837,0.008943089,0.844715447,0,0.9847,0.000254665,25.96332935,81.18742536,5.360279512
52,6,Pirojpur,2009,1224,1182009,11.82009,51,602.82459,87.14,1030,928,5,48.7223301,9,41,0.841503268,16,28,28,3,40,324,1.096438352,1.096438352,0.013071895,0.841503268,0,0.9847,0.000761416,26.44608946,81.92513457,5.065115542
53,6,Pirojpur,2010,1199,1186016,11.86016,43,509.98688,83.39,989,862,8,56.97977755,1,47,0.824854045,18,51,51,2,54,324,1.092733993,1.092733993,0.01501251,0.824854045,0,0.9847,8.43E-05,26.62983894,80.95889444,4.750871012
54,6,Pirojpur,2011,1158,1190036,11.90036,46,547.41656,75.54,899,831,98,37.35483871,4,29,0.776338515,6,16,16,0,20,324,1.089042684,1.089042684,0.005181347,0.776338515,0,0.9847,0.000336124,26.40648159,81.69752167,5.984603744
55,6,Pirojpur,2012,1475,"1,157,446",11.57446,45,520.8507,99,1151,1079,18,48.6967854,2,38,0.780338983,9,4,4,1,7,324,1.119706665,1.119706665,0.006101695,0.780338983,0,0.9847,0.000172794,25.69017277,81.43405744,4.801340571
56,6,Pirojpur,2013,1716,"1,157,678",11.57678,51,590.41578,90.44,1046,981,17,63.98087954,2,39,0.60955711,6,0,0,1,3,324,1.119482274,1.119482274,0.003496503,0.60955711,0,0.9847,0.00017276,25.72372018,81.63025793,6.108805356
57,6,Pirojpur,2014,1648,"1,157,910",11.5791,51,590.5341,136.02,1034,969,5,52.59574468,4,33,0.627427184,14,7,7,2,13,324,1.119257973,1.119257973,0.008495146,0.627427184,0,0.9847,0.00034545,26.14384853,80.50962913,4.399056757
58,6,Pirojpur,2015,1653,"1,158,141",11.58141,45,521.16345,141.95,1055,981,9,47.00473934,2,30,0.638233515,12,17,17,4,23,324,1.119034729,1.119034729,0.007259528,0.638233515,0,0.9847,0.000172691,26.22441245,80.6054168,6.716368909
59,6,Pirojpur,2016,1695,"1,158,373",11.58373,40,463.3492,143.56,1027,936,0,62.71665044,5,38,0.605899705,18,15,15,15,35,324,1.118810608,1.118810608,0.010619469,0.605899705,0,0.9847,0.00043164,26.75810492,81.7980308,6.262283011
60,6,Pirojpur,2017,1938,"1,158,604",11.58604,36,417.09744,166.84,1348,1270,0,60.38278932,1,42,0.695562435,21,2,2,12,15,324,1.118587542,1.118587542,0.010835913,0.695562436,0,0.9847,8.63E-05,26.3617519,82.43740468,6.888830791
61,7,Bandarban,2008,319,378535,3.78535,51,193.05285,75.03,284,247,3,17.97183099,1,16,0.890282131,2,2,2,13,16,286,3.022177606,3.022177606,0.006269592,0.890282132,0,0.9847,0.000264176,25.54253923,79.00329665,9.458632349
62,7,Bandarban,2009,383,388728,3.88728,51,198.25128,85.15,331,307,0,20.82779456,3,18,0.864229765,0,3,3,0,6,286,2.942931819,2.942931819,0,0.864229765,0,0.9847,0.000771748,25.76239428,79.86780902,8.87495206
63,7,Bandarban,2010,359,399195,3.99195,43,171.65385,78.16,312,292,0,12.65705128,2,11,0.86908078,3,2,2,2,6,286,2.865767357,2.865767357,0.008356546,0.86908078,0,0.9847,0.000501008,26.14413282,79.826683,7.895014683
64,7,Bandarban,2011,375,409943,4.09943,46,188.57378,78.06,320,304,0,12.890625,4,11,0.853333333,6,16,16,0,20,286,2.790631868,2.790631868,0.016,0.853333333,0,0.9847,0.000975745,25.87817013,80.10764981,10.0097446
65,7,Bandarban,2012,399,"414,903",4.14903,45,186.70635,81,335,311,1,16.67462687,2,14,0.839598997,1,5,5,1,8,286,2.757270977,2.757270977,0.002506266,0.839598997,0,0.9847,0.00048204,25.13545664,80.00066111,11.02025519
66,7,Bandarban,2013,443,"426,002",4.26002,51,217.26102,70.89,302,292,2,8.801324503,1,6,0.681715576,1,0,0,0,1,286,2.685433402,2.685433402,0.002257336,0.681715576,0,0.9847,0.000234741,25.53679892,80.2595091,8.780306471
67,7,Bandarban,2014,408,"437,399",4.37399,51,223.07349,90.31,292,282,0,8.383561644,2,6,0.715686274,0,2,2,0,4,286,2.615460941,2.615460941,0,0.715686275,0,0.9847,0.000457248,25.97640235,78.59240413,8.612214204
68,7,Bandarban,2015,474,"449,100",4.491,45,202.095,104.21,332,327,0,5.710843373,0,4,0.700421941,0,0,0,1,1,286,2.547316856,2.547316856,0,0.700421941,0,0.9847,0,25.89314545,78.68673598,11.39535701
69,7,Bandarban,2016,522,"461,114",4.61114,40,184.4456,112.34,367,363,0,4.267029973,1,3,0.703065134,0,0,0,0,1,286,2.480948312,2.480948312,0,0.703065134,0,0.9847,0.000216866,26.40816084,79.75731862,7.697257734
70,7,Bandarban,2017,575,"473,449",4.73449,36,170.44164,120.82,440,437,0,1.306818182,0,1,0.765217391,0,1,1,1,2,286,2.416310944,2.416310944,0,0.765217391,0,0.9847,0,26.10894569,80.35642628,11.06817088
71,8,Brahmanbaria,2008,3264,2676611,26.76611,51,1365.07161,87.35,2338,2150,24,110.289136,7,79,0.71629902,60,18,18,0,25,546,0.815957194,0.815957194,0.018382353,0.71629902,0,0.9847,0.000261525,25.50910616,79.31443637,4.343574469
72,8,Brahmanbaria,2009,3343,2704763,27.04763,51,1379.42913,88.44,2352,2156,23,127.9209184,8,90,0.703559677,55,20,20,0,28,546,0.807464462,0.807464462,0.016452288,0.703559677,0,0.9847,0.000295775,25.92690852,79.40441627,3.820304976
73,8,Brahmanbaria,2010,3216,2733212,27.33212,43,1175.28116,84.63,2313,2083,21,172.4098573,8,124,0.719216418,50,27,27,0,35,546,0.799059861,0.799059861,0.015547264,0.719216418,0,0.9847,0.000292696,26.1380956,78.00101082,3.544139623
74,8,Brahmanbaria,2011,3199,2761960,27.6196,46,1270.5016,77.41,2138,1946,44,107.7305893,8,72,0.668333855,40,26,26,2,36,546,0.790742806,0.790742806,0.012503907,0.668333854,0,0.9847,0.000289649,25.93667945,78.31390391,4.708333266
75,8,Brahmanbaria,2012,3546,"3,003,242",30.03242,45,1351.4589,77,2315,2117,42,147.0479482,8,96,0.65284828,24,23,23,5,36,546,0.727214124,0.727214124,0.00676819,0.65284828,0,0.9847,0.000266379,25.11200575,79.17758412,3.56063432
76,8,Brahmanbaria,2013,4049,"3,054,123",30.54123,51,1557.60273,71.77,2192,2052,8,173.6341241,3,94,0.541368239,15,18,18,2,23,546,0.715098901,0.715098901,0.003704618,0.541368239,0,0.9847,9.82E-05,25.27976277,77.77233551,3.764718276
77,8,Brahmanbaria,2014,4119,"3,105,865",31.05865,51,1583.99115,128.69,2315,2228,7,101.4181425,3,57,0.562029619,15,3,3,2,8,546,0.703185747,0.703185747,0.003641661,0.562029619,0,0.9847,9.66E-05,25.5983066,77.67931747,4.137634008
78,8,Brahmanbaria,2015,4205,"3,158,485",31.58485,45,1421.31825,132.53,2538,2358,45,155.7407407,9,94,0.603567182,25,6,6,1,16,546,0.691470753,0.691470753,0.005945303,0.603567182,0,0.9847,0.000284947,25.4345461,78.3215308,4.811325429
79,8,Brahmanbaria,2016,4577,"3,211,995",32.11995,40,1284.798,142,2997,2849,0,184.7904571,8,121,0.654795718,12,1,1,6,15,546,0.679951245,0.679951245,0.002621805,0.654795718,0,0.9847,0.000249066,26.29844653,79.48883243,3.728667697
80,8,Brahmanbaria,2017,4877,"3,266,413",32.66413,36,1175.90868,148.79,3424,3264,0,179.4690421,13,126,0.702070945,19,1,1,1,15,546,0.668623349,0.668623349,0.003895838,0.702070945,0,0.9847,0.00039799,25.92042289,79.53807723,5.796965228
81,9,Chandpur,2008,2821,2511866,25.11866,51,1281.05166,91.84,2307,2120,36,114.9432163,10,94,0.817795108,11,36,36,0,46,524,0.834439417,0.834439417,0.003899326,0.817795108,0,0.9847,0.00039811,25.46999439,80.46993569,5.779274684
82,9,Chandpur,2009,2815,2536525,25.36525,51,1293.62775,90.68,2300,2092,18,112.6,3,92,0.81705151,28,67,67,0,70,524,0.826327357,0.826327357,0.009946714,0.81705151,0,0.9847,0.000118272,25.88669779,80.37674243,4.527141655
83,9,Chandpur,2010,2576,2561425,25.61425,43,1101.41275,81.24,2081,1929,1,111.4079769,12,90,0.807841615,14,35,35,0,47,524,0.818294504,0.818294504,0.005434783,0.807841615,0,0.9847,0.000468489,26.03811026,79.46397645,5.019248538
84,9,Chandpur,2011,2362,2586570,25.8657,46,1189.8222,67.08,1735,1610,0,114.356196,6,84,0.734546994,11,22,22,2,30,524,0.810339562,0.810339562,0.00465707,0.734546994,0,0.9847,0.000231967,25.90820235,79.75292958,5.721794079
85,9,Chandpur,2012,2818,"2,529,218",25.29218,45,1138.1481,85,2154,2038,8,113.8189415,6,87,0.764371895,4,11,11,0,17,524,0.828714646,0.828714646,0.001419446,0.764371895,0,0.9847,0.000237227,25.09638741,79.69419315,4.611289618
